title,author,genre,mood,description,rating,pages,is_new,interests
1984,Джордж Оруэлл,Фантастика,напряженное,Антиутопия о тоталитарном обществе и контроле над мыслями.,4.8,328,0,"Философия,История"
Мастер и Маргарита,Михаил Булгаков,Классика,веселое,Мистический роман о добре и зле в советской Москве.,4.9,480,0,"Мистика,Философия,Юмор"
Хоббит,Дж. Р. Р. Толкин,Фэнтези,веселое,Приключения Бильбо Бэггинса в волшебном мире.,4.7,310,0,"Приключения,Мистика"
Дюна,Фрэнк Герберт,Фантастика,напряженное,Эпическая сага о пустынной планете Арракис.,4.6,604,0,"Приключения,Философия,Наука"
Убийство в Восточном экспрессе,Агата Кристи,Детектив,напряженное,Знаменитый детектив Эркюль Пуаро расследует убийство в поезде.,4.5,256,0,"История,Психология"
Гордость и предубеждение,Джейн Остин,Роман,веселое,Классическая история любви и социальных предрассудков.,4.4,432,0,"Любовь,История"
Сияние,Стивен Кинг,Ужасы,напряженное,"Семья зимует в заброшенном отеле, где начинают происходить кошмары.",4.3,447,0,"Мистика,Психология"
Краткая история времени,Стивен Хокинг,Научпоп,грустное,Популярное изложение космологии и теории относительности.,4.5,256,0,"Наука,Философия"
Стив Джобс,Уолтер Айзексон,Биография,напряженное,Биография основателя Apple и его путь к успеху.,4.2,656,1,"История,Наука"
Маленький принц,Антуан де Сент-Экзюпери,Классика,грустное,"Философская сказка о дружбе, любви и смысле жизни.",4.9,96,0,"Философия,Любовь"
Остров сокровищ,Роберт Льюис Стивенсон,Приключения,веселое,Классические пиратские приключения юного Джима Хокинса.,4.4,292,0,"Приключения,История"
Ночной дозор,Сергей Лукьяненко,Фэнтези,напряженное,"Магический мир, где Светлые и Тёмные сосуществуют в Москве.",4.3,362,1,"Мистика,Философия"
